scheme,binary,nprocs,repeat,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,8,1,640,1,0.00008,0.05,,0.25,0.5,0,48.002729
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,8,2,640,1,0.00008,0.05,,0.25,0.5,0,48.431173
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,8,3,640,1,0.00008,0.05,,0.25,0.5,0,48.371821
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,16,1,640,1,0.00008,0.05,0.0,,,0,58.022098
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,16,2,640,1,0.00008,0.05,0.0,,,0,58.330251
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,16,3,640,1,0.00008,0.05,0.0,,,0,58.566396
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,16,1,640,1,0.00008,0.05,0.5,,,0,54.978648
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,16,2,640,1,0.00008,0.05,0.5,,,0,55.336492
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,16,3,640,1,0.00008,0.05,0.5,,,0,54.954283
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,16,1,640,1,0.00008,0.05,1.0,,,0,55.425642
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,16,2,640,1,0.00008,0.05,1.0,,,0,54.617637
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,16,3,640,1,0.00008,0.05,1.0,,,0,54.653228
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,16,1,640,1,0.00008,0.05,,0.0,0.5,0,31.545584
