scheme,binary,nprocs,repeat,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,16,3,640,1,0.0008,0.5,1.0,,,0,58.851964
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,16,1,640,1,0.0008,0.5,,0.0,0.5,0,12.403002
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,16,2,640,1,0.0008,0.5,,0.0,0.5,0,12.415417
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,16,3,640,1,0.0008,0.5,,0.0,0.5,0,12.430331
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,16,1,640,1,0.0008,0.5,,0.25,0.5,0,31.404929
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,16,2,640,1,0.0008,0.5,,0.25,0.5,0,31.717891
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,16,3,640,1,0.0008,0.5,,0.25,0.5,0,30.940853
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,32,1,640,1,0.0008,0.5,0.0,,,0,22.498833
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,32,2,640,1,0.0008,0.5,0.0,,,0,22.460643
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,32,3,640,1,0.0008,0.5,0.0,,,0,22.581049
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,32,1,640,1,0.0008,0.5,0.5,,,0,37.987125
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,32,2,640,1,0.0008,0.5,0.5,,,0,37.951382
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,32,3,640,1,0.0008,0.5,0.5,,,0,39.654802
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,32,1,640,1,0.0008,0.5,1.0,,,0,39.301890
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,32,2,640,1,0.0008,0.5,1.0,,,0,40.498189
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,32,3,640,1,0.0008,0.5,1.0,,,0,40.435644
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,32,1,640,1,0.0008,0.5,,0.0,0.5,0,9.993134
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,32,2,640,1,0.0008,0.5,,0.0,0.5,0,10.046996
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,32,3,640,1,0.0008,0.5,,0.0,0.5,0,10.073953
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,32,1,640,1,0.0008,0.5,,0.25,0.5,0,22.231882
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,32,2,640,1,0.0008,0.5,,0.25,0.5,0,22.216302
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,32,3,640,1,0.0008,0.5,,0.25,0.5,0,22.509189
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,1,1,640,1,0.0008,0.5,0.0,,,0,360.536152
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,1,2,640,1,0.0008,0.5,0.0,,,0,360.325837
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,1,3,640,1,0.0008,0.5,0.0,,,0,360.571758
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,1,1,640,1,0.0008,0.5,0.5,,,0,641.542538
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,1,2,640,1,0.0008,0.5,0.5,,,0,643.107911
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,1,3,640,1,0.0008,0.5,0.5,,,0,642.129083
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,1,1,640,1,0.0008,0.5,1.0,,,0,659.830299
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,1,2,640,1,0.0008,0.5,1.0,,,0,663.123426
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,1,3,640,1,0.0008,0.5,1.0,,,0,658.351372
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,1,1,640,1,0.0008,0.5,,0.0,0.5,0,116.517860
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,1,2,640,1,0.0008,0.5,,0.0,0.5,0,116.792874
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,1,3,640,1,0.0008,0.5,,0.0,0.5,0,116.533177
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,1,1,640,1,0.0008,0.5,,0.25,0.5,0,338.870342
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,1,2,640,1,0.0008,0.5,,0.25,0.5,0,339.200168
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,1,3,640,1,0.0008,0.5,,0.25,0.5,0,341.473459
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,2,1,640,1,0.0008,0.5,0.0,,,0,192.827399
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,2,2,640,1,0.0008,0.5,0.0,,,0,192.289300
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,2,3,640,1,0.0008,0.5,0.0,,,0,192.797697
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,2,1,640,1,0.0008,0.5,0.5,,,0,360.712550
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,2,2,640,1,0.0008,0.5,0.5,,,0,355.161751
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,2,3,640,1,0.0008,0.5,0.5,,,0,356.353712
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,2,1,640,1,0.0008,0.5,1.0,,,0,364.350134
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,2,2,640,1,0.0008,0.5,1.0,,,0,366.055234
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,2,3,640,1,0.0008,0.5,1.0,,,0,365.703449
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,2,1,640,1,0.0008,0.5,,0.0,0.5,0,61.974073
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,2,2,640,1,0.0008,0.5,,0.0,0.5,0,61.892394
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,2,3,640,1,0.0008,0.5,,0.0,0.5,0,62.083177
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,2,1,640,1,0.0008,0.5,,0.25,0.5,0,178.430777
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,2,2,640,1,0.0008,0.5,,0.25,0.5,0,178.547072
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,2,3,640,1,0.0008,0.5,,0.25,0.5,0,179.327654
