h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.00625,160,160,1,0.01,1,theta-standing-mode-wsol,1.000000,N/A,N/A,8.508760e-02,8.553767e-02,2.145
0.00625,160,160,1,0.005,1,theta-standing-mode-wsol,1.000000,N/A,N/A,4.642436e-02,4.731430e-02,3.628
0.00625,160,160,1,0.001,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.054828e-02,1.418044e-02,16.923
0.00625,160,160,2,0.1,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.241507e+00,1.241507e+00,8.093
0.00625,160,160,2,0.05,1,theta-standing-mode-wsol,1.000000,N/A,N/A,2.251881e-01,2.251881e-01,9.310
0.00625,160,160,2,0.01,1,theta-standing-mode-wsol,1.000000,N/A,N/A,8.431972e-02,8.431973e-02,13.792
0.00625,160,160,2,0.005,1,theta-standing-mode-wsol,1.000000,N/A,N/A,4.562123e-02,4.562125e-02,18.886
0.00625,160,160,2,0.001,1,theta-standing-mode-wsol,1.000000,N/A,N/A,9.716187e-03,9.716258e-03,63.750
0.003125,320,320,1,0.1,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.241393e+00,1.241394e+00,4.543
0.003125,320,320,1,0.05,1,theta-standing-mode-wsol,1.000000,N/A,N/A,2.253209e-01,2.253514e-01,5.478
0.003125,320,320,1,0.01,1,theta-standing-mode-wsol,1.000000,N/A,N/A,8.451169e-02,8.462534e-02,11.122
0.003125,320,320,1,0.005,1,theta-standing-mode-wsol,1.000000,N/A,N/A,4.582201e-02,4.604929e-02,16.919
0.003125,320,320,1,0.001,1,theta-standing-mode-wsol,1.000000,N/A,N/A,9.924193e-03,1.099869e-02,64.704
0.003125,320,320,2,0.1,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.241507e+00,1.241507e+00,69.354
0.003125,320,320,2,0.05,1,theta-standing-mode-wsol,1.000000,N/A,N/A,2.251881e-01,2.251881e-01,76.733
0.003125,320,320,2,0.01,1,theta-standing-mode-wsol,1.000000,N/A,N/A,8.431971e-02,8.431972e-02,101.639
0.003125,320,320,2,0.005,1,theta-standing-mode-wsol,1.000000,N/A,N/A,4.562122e-02,4.562123e-02,124.485
0.003125,320,320,2,0.001,1,theta-standing-mode-wsol,1.000000,N/A,N/A,9.716175e-03,9.716182e-03,312.588
0.05,20,20,1,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,3.654210e-01,3.687693e-01,0.024
0.05,20,20,1,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,1.281205e-02,7.885259e-02,0.041
0.05,20,20,1,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,5.096974e-02,8.902062e-02,0.111
0.05,20,20,1,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,5.296786e-02,9.005703e-02,0.273
