h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_avg,rel_H1_error_avg,elapsed_time_s
0.025,40,40,1,0.01,1,theta-standing-mode-wsol,1.0,N/A,N/A,5.363283e-02,6.709526e-02,0.648
0.025,40,40,1,0.005,1,theta-standing-mode-wsol,1.0,N/A,N/A,3.020387e-02,5.023108e-02,1.326
0.025,40,40,1,0.001,1,theta-standing-mode-wsol,1.0,N/A,N/A,8.388943e-03,3.981758e-02,6.690
0.025,40,40,2,0.1,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.267114e-01,2.267119e-01,0.232
0.025,40,40,2,0.05,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.381818e-01,2.381823e-01,0.376
0.025,40,40,2,0.01,1,theta-standing-mode-wsol,1.0,N/A,N/A,5.145241e-02,5.145748e-02,1.153
0.025,40,40,2,0.005,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.449539e-02,2.451430e-02,2.216
0.025,40,40,2,0.001,1,theta-standing-mode-wsol,1.0,N/A,N/A,4.959290e-03,5.027744e-03,10.526
0.0125,80,80,1,0.1,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.280950e-01,2.285738e-01,0.236
0.0125,80,80,1,0.05,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.391570e-01,2.396025e-01,0.405
0.0125,80,80,1,0.01,1,theta-standing-mode-wsol,1.0,N/A,N/A,5.199478e-02,5.625508e-02,1.705
0.0125,80,80,1,0.005,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.591729e-02,3.326848e-02,3.255
0.0125,80,80,1,0.001,1,theta-standing-mode-wsol,1.0,N/A,N/A,5.633435e-03,2.017282e-02,15.751
0.0125,80,80,2,0.1,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.267102e-01,2.267102e-01,1.352
0.0125,80,80,2,0.05,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.381810e-01,2.381810e-01,1.682
0.0125,80,80,2,0.01,1,theta-standing-mode-wsol,1.0,N/A,N/A,5.145197e-02,5.145229e-02,4.091
0.0125,80,80,2,0.005,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.449416e-02,2.449538e-02,7.093
0.0125,80,80,2,0.001,1,theta-standing-mode-wsol,1.0,N/A,N/A,4.958850e-03,4.964201e-03,31.951
0.00625,160,160,1,0.1,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.270564e-01,2.271771e-01,1.219
0.00625,160,160,1,0.05,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.384250e-01,2.385371e-01,1.883
0.00625,160,160,1,0.01,1,theta-standing-mode-wsol,1.0,N/A,N/A,5.158748e-02,5.280563e-02,6.577
0.00625,160,160,1,0.005,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.484895e-02,2.736617e-02,12.452
0.00625,160,160,1,0.001,1,theta-standing-mode-wsol,1.0,N/A,N/A,5.090439e-03,1.111632e-02,60.178
0.00625,160,160,2,0.1,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.267101e-01,2.267101e-01,8.877
0.00625,160,160,2,0.05,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.381810e-01,2.381810e-01,10.654
0.00625,160,160,2,0.01,1,theta-standing-mode-wsol,1.0,N/A,N/A,5.145194e-02,5.145196e-02,19.579
0.00625,160,160,2,0.005,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.449409e-02,2.449416e-02,30.870
0.00625,160,160,2,0.001,1,theta-standing-mode-wsol,1.0,N/A,N/A,4.958824e-03,4.959184e-03,121.123
0.003125,320,320,1,0.1,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.267967e-01,2.268269e-01,6.594
0.003125,320,320,1,0.05,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.382420e-01,2.382700e-01,9.238
0.003125,320,320,1,0.01,1,theta-standing-mode-wsol,1.0,N/A,N/A,5.148581e-02,5.180830e-02,28.767
0.003125,320,320,1,0.005,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.458242e-02,2.540147e-02,52.700
0.003125,320,320,1,0.001,1,theta-standing-mode-wsol,1.0,N/A,N/A,4.991276e-03,7.212835e-03,244.479
0.003125,320,320,2,0.1,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.267101e-01,2.267101e-01,76.514
0.003125,320,320,2,0.05,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.381810e-01,2.381810e-01,81.598
0.003125,320,320,2,0.01,1,theta-standing-mode-wsol,1.0,N/A,N/A,5.145194e-02,5.145194e-02,126.364
0.003125,320,320,2,0.005,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.449408e-02,2.449409e-02,238.529
0.003125,320,320,2,0.001,1,theta-standing-mode-wsol,1.0,N/A,N/A,4.958822e-03,4.958847e-03,853.052
0.05,20,20,1,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,7.558216e+02,1.501241e+04,0.053
0.05,20,20,1,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,2.787743e+06,5.869500e+07,0.080
0.05,20,20,1,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,2.098398e+06,4.541152e+07,0.446
0.05,20,20,1,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,7.764438e+00,1.656669e+02,0.867
0.05,20,20,1,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.692604e-02,8.236610e-02,4.282
0.05,20,20,2,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,8.864212e+07,4.244823e+09,0.064
0.05,20,20,2,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,3.151674e+14,1.511313e+16,0.129
0.05,20,20,2,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,2.201526e+31,1.056958e+33,0.589
