h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.025,40,40,1,0.002,1,theta-conv-params,0.500000,N/A,N/A,1.333189e-02,4.011170e-02,0.799
0.025,40,40,1,0.001,1,theta-conv-params,0.500000,N/A,N/A,1.341133e-02,4.013530e-02,1.553
0.025,40,40,1,0.0005,1,theta-conv-params,0.500000,N/A,N/A,1.354543e-02,4.017597e-02,3.065
0.025,40,40,1,0.0002,1,theta-conv-params,0.500000,N/A,N/A,1.348225e-02,4.015669e-02,7.620
0.025,40,40,1,0.0001,1,theta-conv-params,0.500000,N/A,N/A,1.346026e-02,4.015001e-02,15.161
0.025,40,40,2,0.1,1,theta-conv-params,0.500000,N/A,N/A,4.448263e-01,4.448264e-01,0.087
0.025,40,40,2,0.05,1,theta-conv-params,0.500000,N/A,N/A,6.548712e-02,6.549018e-02,0.133
0.025,40,40,2,0.02,1,theta-conv-params,0.500000,N/A,N/A,1.056303e-02,1.058012e-02,0.250
0.025,40,40,2,0.01,1,theta-conv-params,0.500000,N/A,N/A,2.641544e-03,2.707732e-03,0.446
0.025,40,40,2,0.005,1,theta-conv-params,0.500000,N/A,N/A,6.582607e-04,8.869866e-04,0.870
0.025,40,40,2,0.002,1,theta-conv-params,0.500000,N/A,N/A,1.030373e-04,6.024517e-04,2.123
0.025,40,40,2,0.001,1,theta-conv-params,0.500000,N/A,N/A,2.490186e-05,5.943961e-04,4.200
0.025,40,40,2,0.0005,1,theta-conv-params,0.500000,N/A,N/A,9.475508e-06,5.942202e-04,8.370
0.025,40,40,2,0.0002,1,theta-conv-params,0.500000,N/A,N/A,9.062144e-06,5.936924e-04,20.773
0.025,40,40,2,0.0001,1,theta-conv-params,0.500000,N/A,N/A,9.278900e-06,5.936400e-04,41.237
0.0125,80,80,1,0.1,1,theta-conv-params,0.500000,N/A,N/A,4.398371e-01,4.399684e-01,0.084
0.0125,80,80,1,0.05,1,theta-conv-params,0.500000,N/A,N/A,6.217037e-02,6.541614e-02,0.123
0.0125,80,80,1,0.02,1,theta-conv-params,0.500000,N/A,N/A,7.217268e-03,2.060304e-02,0.234
0.0125,80,80,1,0.01,1,theta-conv-params,0.500000,N/A,N/A,7.314527e-04,1.915977e-02,0.460
0.0125,80,80,1,0.005,1,theta-conv-params,0.500000,N/A,N/A,2.700673e-03,1.929770e-02,0.855
0.0125,80,80,1,0.002,1,theta-conv-params,0.500000,N/A,N/A,3.255578e-03,1.937266e-02,2.052
0.0125,80,80,1,0.001,1,theta-conv-params,0.500000,N/A,N/A,3.334883e-03,1.938464e-02,4.068
0.0125,80,80,1,0.0005,1,theta-conv-params,0.500000,N/A,N/A,3.383246e-03,1.939217e-02,8.068
0.0125,80,80,1,0.0002,1,theta-conv-params,0.500000,N/A,N/A,3.371641e-03,1.939033e-02,20.149
0.0125,80,80,1,0.0001,1,theta-conv-params,0.500000,N/A,N/A,3.366737e-03,1.938956e-02,39.913
0.0125,80,80,2,0.1,1,theta-conv-params,0.500000,N/A,N/A,4.448308e-01,4.448308e-01,0.125
0.0125,80,80,2,0.05,1,theta-conv-params,0.500000,N/A,N/A,6.549006e-02,6.549025e-02,0.189
0.0125,80,80,2,0.02,1,theta-conv-params,0.500000,N/A,N/A,1.056599e-02,1.056705e-02,0.418
0.0125,80,80,2,0.01,1,theta-conv-params,0.500000,N/A,N/A,2.644498e-03,2.648679e-03,0.789
0.0125,80,80,2,0.005,1,theta-conv-params,0.500000,N/A,N/A,6.611742e-04,6.776471e-04,1.734
0.0125,80,80,2,0.002,1,theta-conv-params,0.500000,N/A,N/A,1.056362e-04,1.821419e-04,4.235
0.0125,80,80,2,0.001,1,theta-conv-params,0.500000,N/A,N/A,2.628317e-05,1.507262e-04,7.027
0.0125,80,80,2,0.0005,1,theta-conv-params,0.500000,N/A,N/A,6.572514e-06,1.485178e-04,14.010
0.0125,80,80,2,0.0002,1,theta-conv-params,0.500000,N/A,N/A,1.419673e-06,1.484258e-04,34.894
0.0125,80,80,2,0.0001,1,theta-conv-params,0.500000,N/A,N/A,1.139029e-06,1.484913e-04,69.531
0.00625,160,160,1,0.1,1,theta-conv-params,0.500000,N/A,N/A,4.435822e-01,4.436143e-01,0.124
0.00625,160,160,1,0.05,1,theta-conv-params,0.500000,N/A,N/A,6.466013e-02,6.545932e-02,0.217
0.00625,160,160,1,0.02,1,theta-conv-params,0.500000,N/A,N/A,9.728423e-03,1.371787e-02,0.453
0.00625,160,160,1,0.01,1,theta-conv-params,0.500000,N/A,N/A,1.806244e-03,9.764138e-03,0.833
0.00625,160,160,1,0.005,1,theta-conv-params,0.500000,N/A,N/A,1.830497e-04,9.578370e-03,1.625
