h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.003125,320,320,1,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,4.516816e-04,4.812396e-03,2.348
0.003125,320,320,1,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,1.045694e-04,4.789633e-03,5.602
0.003125,320,320,1,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,1.837013e-04,4.791634e-03,10.787
0.003125,320,320,1,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,2.052406e-04,4.792406e-03,21.510
0.003125,320,320,1,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,2.097703e-04,4.792580e-03,52.986
0.003125,320,320,1,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,2.102100e-04,4.792597e-03,107.653
0.003125,320,320,2,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,4.448311e-01,4.448311e-01,0.741
0.003125,320,320,2,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,6.549025e-02,6.549025e-02,1.215
0.003125,320,320,2,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,1.056619e-02,1.056619e-02,2.559
0.003125,320,320,2,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,2.644695e-03,2.644709e-03,4.740
0.003125,320,320,2,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,6.613701e-04,6.614329e-04,8.595
0.003125,320,320,2,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,1.058274e-04,1.062307e-04,20.888
0.003125,320,320,2,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,2.645659e-05,2.803220e-05,38.794
0.003125,320,320,2,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,6.674700e-06,1.142303e-05,78.202
0.003125,320,320,2,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,1.061586e-06,9.331826e-06,194.576
0.003125,320,320,2,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,2.647325e-07,9.275546e-06,406.928
